Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
dot,hnsw,64,128,100,128,0.01730705771446228,57.7798963000147,0.967201,1675.5979743003845
dot,hnsw,64,128,100,256,0.017488592863082887,57.180129232176554,0.991617,1676.6104431152344
dot,hnsw,64,128,100,512,0.019956362867355346,50.10933137700165,0.998227,1684.683658838272
dot,hnsw,64,512,1,128,0.015230132961273193,65.65930859190628,0.9911,4195.0245497226715
dot,hnsw,64,512,1,256,0.02242379298210144,44.59548840814732,0.9919,4175.125874996185
dot,hnsw,64,512,1,512,0.028492525935173034,35.0969233923039,0.9946,4171.115658044815
dot,hnsw,64,512,10,128,0.06462545759677887,15.473778247565447,0.99742,4081.034342765808
dot,hnsw,64,512,10,256,0.06827708806991577,14.646201650779242,0.99883,4059.8320786952972
dot,hnsw,64,512,10,512,0.028836215829849243,34.67861406991099,0.99901,4167.715923070908
dot,hnsw,64,512,100,128,0.03630605306625366,27.543616437047962,0.986545,4230.93986415863
dot,hnsw,64,512,100,256,0.13309829542636872,7.513244228985711,0.997831,4066.078092813492
dot,hnsw,64,512,100,512,0.09984701316356659,10.015322124476853,0.999587,4036.174982070923
dot,flat,8,64,1,128,0.4781275677204132,2.0914920358341553,0.993,824.0183367729187
dot,flat,8,64,1,256,0.5035597271203994,1.9858617481554541,0.993,822.6240968704224
dot,flat,8,64,1,512,0.48046954264640807,2.081297379417721,0.993,867.0480771064758
dot,flat,8,64,10,128,0.4865252692937851,2.0553916992873735,0.99921,851.4569506645203
dot,flat,8,64,10,256,0.5054227337360382,1.9785417893811232,0.99918,846.0229682922363
dot,flat,8,64,10,512,0.47902695968151093,2.0875651772603083,0.99915,823.1258194446564
dot,flat,8,64,100,128,0.4840560600042343,2.0658764193371577,0.999839,817.8762772083282
dot,flat,8,64,100,256,0.45795273003578185,2.1836314851139016,0.999852,840.2336044311523
